ITERATION;TIME;MAIN_MEAN_QUEUE;MAIN_MEAN_LOAD;BACKUP_MEAN_QUEUE;BACKUP_MEAN_LOAD;ERRORS_RATIO;AVG_TIME_TO_PASS_MESSAGE
1;8800;0.52486;0.40033;0.53578;0.36445;0.00364;45.81954
1;8900;0.57979;0.43110;0.51352;0.36701;0.00371;38.58608
1;9000;0.63597;0.41002;0.59349;0.43307;0.00367;40.48840
1;9100;0.55104;0.42124;0.55139;0.46412;0.00374;50.34160
1;9200;0.63608;0.40265;0.39701;0.32410;0.00359;27.76239
1;9300;0.52916;0.38302;0.64413;0.50509;0.00366;20.86371
1;9400;0.54007;0.39900;0.41267;0.35527;0.00372;57.36677
1;9500;0.60454;0.41758;0.60610;0.44419;0.00379;42.96572
1;9600;0.50242;0.36491;0.57695;0.41677;0.00364;43.73322
1;9700;0.53241;0.36794;0.36859;0.28675;0.00371;62.98845
1;9800;0.56856;0.40451;0.53457;0.46587;0.00367;47.56686
1;9900;0.47609;0.33039;0.40789;0.35330;0.00374;53.69059
1;10000;0.58450;0.40154;0.57673;0.35370;0.00370;42.93445
1;10100;0.55034;0.38930;0.58288;0.42377;0.00366;73.23040
1;10200;0.50069;0.39226;0.54399;0.40001;0.00382;51.27729
1;10300;0.60548;0.40555;0.54315;0.35187;0.00369;18.54963
1;10400;0.59660;0.44243;0.61578;0.41005;0.00375;20.50570
1;10500;0.56444;0.41802;0.71776;0.53213;0.00362;32.25658
1;10600;0.54587;0.40142;0.53698;0.40821;0.00368;49.56712
1;10700;0.52790;0.41430;0.53477;0.38380;0.00374;48.66271
1;10800;0.53014;0.40612;0.50017;0.36600;0.00370;44.23882
1;10900;0.56662;0.39663;0.60823;0.43407;0.00367;42.58328
1;11000;0.56570;0.39760;0.59074;0.41724;0.00363;55.72111
1;11100;0.57233;0.42743;0.43433;0.28423;0.00360;26.35630
1;11200;0.51689;0.40506;0.58941;0.45707;0.00366;40.73202
1;11300;0.56719;0.37391;0.51527;0.38058;0.00372;47.59985
1;11400;0.56341;0.41362;0.51383;0.43773;0.00368;54.94685
1;11500;0.50726;0.34702;0.54842;0.31669;0.00374;56.24380
1;11600;0.52953;0.38573;0.44842;0.29674;0.00362;38.74340
1;11700;0.52954;0.36840;0.44615;0.38655;0.00367;34.17229
1;11800;0.58977;0.41926;0.62363;0.47520;0.00373;41.15559
1;11900;0.61968;0.41419;0.53354;0.42461;0.00370;77.29530
1;12000;0.53119;0.38061;0.55809;0.38694;0.00367;36.82728
1;12100;0.61144;0.40111;0.60437;0.44136;0.00372;68.33407
