ITERATION;TIME;MAIN_MEAN_QUEUE;MAIN_MEAN_LOAD;BACKUP_MEAN_QUEUE;BACKUP_MEAN_LOAD;ERRORS_RATIO;AVG_TIME_TO_PASS_MESSAGE
1;0;NaN;NaN;NaN;NaN;NaN;0.00000
1;100;0.43970;0.43970;0.00000;0.00000;0.00000;3.71608
1;200;0.82693;0.48518;0.02441;0.00000;0.00495;6.12575
1;300;0.49216;0.28587;0.10099;0.10099;0.00330;5.45673
1;400;0.62147;0.54357;0.08989;0.08989;0.00249;4.75359
1;500;0.70434;0.54124;0.54910;0.53951;0.00398;5.44485
1;600;0.67370;0.53715;0.53279;0.53279;0.00332;4.75204
1;700;0.52496;0.39483;0.34931;0.32688;0.00427;4.77140
1;800;0.94285;0.47807;0.17409;0.10755;0.00375;6.45068
1;900;0.38709;0.32430;0.07104;0.07104;0.00333;4.18140
1;1000;0.50316;0.36634;0.46056;0.46056;0.00399;4.24846
1;1100;0.62977;0.42069;1.06198;0.65299;0.00363;5.01581
1;1200;0.43736;0.31480;0.45250;0.44845;0.00333;4.81871
1;1300;0.62123;0.46815;0.49460;0.28001;0.00384;5.01824
1;1400;0.60094;0.37491;0.25733;0.22640;0.00356;5.11727
1;1500;0.45544;0.33179;0.49333;0.48128;0.00333;4.60255
1;1600;0.64369;0.38061;0.37579;0.21947;0.00374;4.89089
1;1700;0.56198;0.48716;0.11972;0.10540;0.00353;4.20242
1;1800;0.64694;0.46772;0.44748;0.41763;0.00389;4.94369
1;1900;0.63007;0.45660;0.23005;0.18643;0.00367;4.81787
1;2000;0.57797;0.41026;0.48122;0.42947;0.00350;4.91361
1;2100;0.51439;0.34981;0.28955;0.27722;0.00333;4.55140
1;2200;0.61568;0.42357;0.51315;0.29001;0.00363;5.44217
1;2300;0.57025;0.39585;0.37762;0.33830;0.00348;4.85199
1;2400;0.45895;0.38690;0.58523;0.45386;0.00374;4.40061
1;2500;0.64335;0.49453;0.46514;0.24594;0.00360;4.99948
1;2600;0.61375;0.43849;0.29092;0.25259;0.00346;5.29786
1;2700;0.63439;0.39729;0.28587;0.16213;0.00370;5.26399
1;2800;0.63184;0.40185;0.49049;0.28796;0.00357;5.72221
1;2900;0.57794;0.37717;0.53924;0.36070;0.00344;5.08839
1;3000;0.54862;0.42713;0.59450;0.50930;0.00366;4.85191
1;3100;0.52285;0.36998;0.42869;0.34028;0.00387;4.91678
1;3200;0.65900;0.39651;0.36745;0.28893;0.00375;5.31660
1;3300;0.61973;0.44777;0.30179;0.21753;0.00364;4.93169
1;3400;0.56097;0.41456;0.64588;0.31168;0.00353;5.05878
1;3500;0.57098;0.43824;0.56812;0.42961;0.00371;4.87468
1;3600;0.45925;0.34334;0.52768;0.37041;0.00361;4.81049
1;3700;0.45886;0.38947;0.51131;0.49004;0.00351;4.18695
1;3800;0.43846;0.34248;0.47543;0.35918;0.00368;4.64803
1;3900;0.53342;0.42417;0.46711;0.33523;0.00359;4.77062
1;4000;0.50877;0.42018;0.64334;0.51941;0.00375;4.71737
1;4100;0.59368;0.43028;0.57134;0.38848;0.00366;4.60039
1;4200;0.47764;0.37954;0.50234;0.28862;0.00357;4.82262
1;4300;0.57290;0.43919;0.57961;0.25364;0.00372;5.11061
1;4400;0.59469;0.44670;0.68329;0.57943;0.00363;4.87503
1;4500;0.44905;0.35278;0.31254;0.28640;0.00356;4.48376
1;4600;0.57335;0.41093;0.54696;0.50385;0.00369;4.87871
1;4700;0.61452;0.40553;0.59219;0.35711;0.00361;5.25634
1;4800;0.56726;0.41462;0.50611;0.28036;0.00375;5.21954
1;4900;0.57447;0.44482;0.43298;0.32227;0.00367;4.71062
1;5000;0.49861;0.37662;0.35725;0.29905;0.00360;4.66406
1;5100;0.50748;0.38577;0.66565;0.45595;0.00353;4.80368
1;5200;0.56351;0.41486;0.44218;0.38640;0.00365;5.02129
1;5300;0.59266;0.42293;0.38672;0.22553;0.00377;5.15805
1;5400;0.56923;0.41519;0.39531;0.33116;0.00370;4.88085
1;5500;0.58460;0.44540;0.66257;0.49686;0.00364;5.03345
1;5600;0.57826;0.39611;0.43206;0.33919;0.00357;4.84696
1;5700;0.48706;0.33767;0.75578;0.52509;0.00368;4.59895
1;5800;0.55439;0.36855;0.47186;0.31891;0.00362;5.31573
1;5900;0.61099;0.40143;0.44235;0.34047;0.00373;4.93025
1;6000;0.56368;0.38823;0.57368;0.43954;0.00367;5.01361
1;6100;0.57686;0.40103;0.44095;0.35108;0.00377;5.03024
1;6200;0.56425;0.38262;0.65037;0.43505;0.00371;5.12370
1;6300;0.47324;0.36366;0.47793;0.38312;0.00365;4.56609
1;6400;0.60716;0.43416;0.60029;0.48110;0.00375;4.95411
1;6500;0.55416;0.39261;0.52211;0.43747;0.00369;4.86995
1;6600;0.55581;0.40965;0.39626;0.31208;0.00363;4.71593
1;6700;0.53421;0.38939;0.42907;0.36744;0.00373;4.70518
1;6800;0.54619;0.39820;0.44194;0.25081;0.00368;4.86583
1;6900;0.58305;0.36169;0.63296;0.52227;0.00362;5.30461
1;7000;0.52964;0.39131;0.56457;0.36116;0.00371;4.75936
1;7100;0.56269;0.40660;0.78313;0.50513;0.00366;5.01523
1;7200;0.53034;0.37500;0.49549;0.40435;0.00361;4.81015
1;7300;0.51141;0.35490;0.59286;0.33182;0.00370;4.70275
1;7400;0.46863;0.38769;0.54947;0.39383;0.00365;4.40566
1;7500;0.56169;0.39813;0.54376;0.43197;0.00360;4.96803
1;7600;0.56362;0.36301;0.36169;0.22652;0.00368;4.83286
1;7700;0.62048;0.42140;0.64301;0.38589;0.00364;5.36640
1;7800;0.53863;0.36959;0.48917;0.39859;0.00372;4.95730
1;7900;0.53078;0.43559;0.55925;0.33202;0.00367;4.61577
1;8000;0.54812;0.41327;0.68597;0.40649;0.00362;5.09057
1;8100;0.53949;0.36101;0.47212;0.38488;0.00370;5.08493
1;8200;0.51167;0.40325;0.54696;0.41320;0.00378;4.79704
1;8300;0.55818;0.36713;0.55610;0.46238;0.00373;5.18328
1;8400;0.46369;0.35834;0.67867;0.45500;0.00369;4.63966
1;8500;0.52454;0.37565;0.47118;0.39215;0.00365;4.64909
1;8600;0.51592;0.41850;0.67185;0.49346;0.00372;4.70517
1;8700;0.52960;0.40263;0.54080;0.42783;0.00368;4.92777
1;8800;0.59526;0.38066;0.44493;0.32363;0.00363;5.25927
1;8900;0.63322;0.44116;0.53688;0.30491;0.00371;5.20378
1;9000;0.54511;0.36350;0.65931;0.39935;0.00367;4.75173
1;9100;0.53272;0.41016;0.52905;0.28720;0.00374;4.59931
1;9200;0.53639;0.40218;0.42737;0.29134;0.00358;4.76708
1;9300;0.58871;0.41216;0.60884;0.44433;0.00376;5.09814
1;9400;0.52748;0.40928;0.47164;0.31508;0.00372;4.80021
1;9500;0.54829;0.41969;0.55459;0.44263;0.00368;4.54609
1;9600;0.52323;0.36162;0.59045;0.38421;0.00375;5.01480
1;9700;0.56396;0.40739;0.52486;0.38796;0.00361;4.93705
1;9800;0.52494;0.39445;0.47580;0.37515;0.00367;4.62328
1;9900;0.53622;0.40119;0.52877;0.35790;0.00374;4.64843
1;10000;0.64822;0.45158;0.58589;0.48596;0.00370;5.20976
1;10100;0.56391;0.41759;0.49951;0.47483;0.00376;4.75099
1;10200;0.54933;0.38364;0.60993;0.36665;0.00372;5.00372
1;10300;0.58193;0.42090;0.40470;0.31693;0.00369;5.01552
1;10400;0.56329;0.39154;0.46569;0.22979;0.00365;5.36564
1;10500;0.62151;0.38569;0.58009;0.46122;0.00371;5.29035
